Nazwa;Cena z podatkiem;Kategoria;Ilość;URL zdjecia;Opis
CEBULA DYMKA PĘCZEK;2.49;Zioła;30;http://localhost/img/p/cebula-dymka-peczek-h4vjdk.png;Cebula dymka to mała, młoda cebula ze szczypiorkiem o szerokim zastosowaniu kulinarym. Posiada łagodniejszy i słodszy smak - stanowi alternatywę dla klasycznej cebuli w różnych daniach i przekąskach. Cebula dymka może urozmaicić wiele naszych dań - a co najważniejsze, nie uronimy przy niż żadnej łzy.
Papryka żółta ważona;6.4;Warzywa świeże;30;http://localhost/img/p/papryka-zolta-ij39of.png;"papryka żółta 100%.

Oznakowanie alergenów: wielkimi literami"
Cebula czerwona ważona;3.0;Warzywa świeże;30;http://localhost/img/p/cebula-czerwona-wazona-lgd462.png;"cebula czerwona 100%.

Oznakowanie alergenów: wielkimi literami"
Sałata sztuka;3.49;Sałaty świeże, kiełki;30;http://localhost/img/p/salata-sztuka-5lilo3.png;Świeża sałata to idealny dodatek do kanapek i wiosennych sałatek.
Carrefour Targ Świeżości Pomidor malinowy 500 g;8.99;Warzywa świeże;30;http://localhost/img/p/pomidory-malinowe-500-g-do4aa3.png;" 
        Carrefour
    

        Pomidor malinowy, klasa I, typ: okrągły.Kal. 57-67 mm}
    

Produkt polski
jakość kontrolowana


        Pomidor malinowy.
    
"
Kalafior sztuka;6.99;Warzywa świeże;30;http://localhost/img/p/kalafior-sztuka-rcih3j.png;Kalafior to warzywo, którego wartość odżywczą i właściwości powinien docenić każdy z nas. Charakteryzuje się m.in. niską kalorycznością, z tego powodu polecany jest osobą będącym na diecie.
POMARAŃCZE SIATKA 1 KG;6.99;Owoce świeże;30;http://localhost/img/p/pomarancze-siatka-1-kg-5t4kib.png;Najpopularniejszy owoc wśród cytrusów ceniony za wspaniały aromat i niepowtarzalny, wyrazisty i orzeźwiający smak. Na ogół spożywamy je na surowo bądź wyciskamy z nich świeży sok. Są doskonałym dodatkiem do zimnych napojów i drinków, a także grzanych alkoholi: piwa i wina. Nieodzowny składnik sałatek owocowych. Mają zastosowanie również w daniach mięsnych- świetnie komponują się z kaczką.
"Ziemniaki do smażenia i pieczenia ""Jakość z Natury Carrefour"" 2 kg";6.99;Warzywa świeże;30;http://localhost/img/p/ziemniaki-do-smazenia-i-pieczenia-jakosc-z-natury-carrefour-2-kg-fosps2.png;"- smaczne odmiany typu C ""mączyste"" - uprawiane w wybranych gospodarstwach Niziny Błońskiej - bezpieczne dzięki kontroli jakości ""od pola do talerza"""
Charsznickie ogórki kiszone 500 g;9.99;Surówki;30;http://localhost/img/p/charsznickie-ogorki-kiszone-500-g-2v8364.png;Ogórki użyte do produkcji pochodzą z certyfikowanych upraw ekologicznych. Kupujemy je wyłącznie od dostawców, do których mamy zaufanie. Nasze ogórki kiszone produkujemy według tradycyjnej receptury, co gwarantuje ich najwyższą jakość. Ogórków nie pasteryzujemy. Produkt nie zawiera żadnych konserwantów, regulatorów kwasowości ani przeciwutleniaczy. Każda torebka wyposażona jest w mechanizm, pozwalający na jej wielokrotne otwieranie i zamykanie.
Ziemniak słodki batat ważony;3.5;Warzywa świeże;30;http://localhost/img/p/ziemniak-slodki-batat-wazony-mbl9nc.png;Słodka odmiana ziemniaka o o niepowtarzalnych walorach kulinarnych. Stanowią alternatywę dla klasycznego i lubianego smaku ziemniaka. Pochodzą z Ameryki Południowej i Środkowej.
POMIDOR DAKTYLOWY 250 g;4.99;Warzywa świeże;30;http://localhost/img/p/pomidory-daktylowe-250-g-hd89i9.png;Wyjątkowo słodka odmiana pomidora cherry o drobnych, soczystych i nieco wydłużonych owocach. Małe pomidorki daktylowe sprawdzą się idealnie jako dodatek do sałatek, tart, przekąsek lub jako subtelna ozdoba talerza.
LIMONKA SZTUKA;1.69;Owoce świeże;30;http://localhost/img/p/limonka-sztuka-hb2mj4.png;Limonka jest mniejszą siostrą cytryny. Orzeźwiająca, soczysta, o nieco intensywniejszym aromacie niż jej żółta odpowiedniczka. Limonka jest na ogół okrągła, w kolorach od intensywnie zielonego do zielono-żółtego. Niezastąpiony składnik drinków, w tym popularnego mojito. Często stosowana jest w daniach kuchni tajskiej a także jako dodatek do sosów i dresingów.
Czosnek;1.99;Warzywa świeże;30;http://localhost/img/p/jzn-czosnek-szt--efum32.png;"

Produkt polski

"
Mango sztuka;5.99;Owoce świeże;30;http://localhost/img/p/mango-sztuka-1d5vkk.png;Soczysty owoc o bardzo aromatycznym, słodkim smaku. Skórka jest cienka i gładka, ale twarda - dlatego pomimo iż jest jadalna, usuwa się ją przed spożyciem. Miąższ ma barwę pomarańczowo-żółtą. W środku owocu znajduje się pestka. W naszych sklepach sprzedajemy wyłącznie wyselekcjonowane, dojrzałe odmiany mango. Zawiera witaminy z grupy B, witaminy A, C, E, K oraz mikroelementy takie jak żelazo, magnez, wapń, potas i miedź.
Papryka zielona ważona;4.8;Warzywa świeże;30;http://localhost/img/p/papryka-zielona-wazona-5ti7qg.png;"papryka zielona 100%.

Oznakowanie alergenów: wielkimi literami"
JZN BURAKI LUZEM;3.49;Warzywa świeże;30;http://localhost/img/p/jzn-buraki-luzem-ubjsbl.png;Burak to warzywo, którego nie może zabraknąć na naszych stołach - ze względu na walory smakowe, dietetyczne i zdrowotne. Buraki są prawdziwą „kopalnią” składników mineralnych (m. in. żelaza, potasu, magnezu, fosforu, manganu, miedzi i cynku), witamin (kwasu foliowego, witaminy C, B2 i B6), błonnika pokarmowego, fitosteroli roślinnych i przeciwutleniaczy. Warzywo to jest także źródłem mało znanych pierwiastków - cezu i rubidu,a swój piękny i intensywny kolor zawdzięczają obecności betaniny – antyutleniacza, który chroni nasz organizm przed niszczącym działaniem wolnych rodników. Dobry burak powinien charakteryzować się cienką skórką oraz jednolitą barwą na przekroju. Im jest ciemniejsza, tym burak ma więcej antocyjanów (rodzaj flawonoidów), a im bardziej jego struktura jest porowata, tym burak jest bardziej ciężkostrawny. Składniki mineralne zawarte w tych warzywach rozpuszczają się w wodzie, dlatego lepiej ich nie gotować, chyba że w zupie. Buraki będą bardziej wartościowe, jeśli zostaną upieczone w skórce i obrane dopiero przed jedzeniem. Najwięcej wartości odżywczych ma surowy sok z buraków, więc spożywanie ich właśnie w takiej formie przyniesie nam najwięcej korzyści zdrowotnych. Buraki obniżają ciśnienie krwi, działają antynowotworowo, krwiotwórczo, wzmacniają odporność organizmu, wspomagają nasz organizm w infekcjach bakteryjnych i wirusowych, dodają energii, poprawiają nastrój, redukują oznaki starzenia się, a także poprawiają stan skóry, włosów i paznokci.
Kapusta pekińska ważona;4.49;Warzywa świeże;30;http://localhost/img/p/kapusta-pekinska-wazona-8fpfin.png;Warzywo pochodzące z północnych terenów Chin i Japonii. Jest uprawiane także w wielu rejonach świata o klimacie umiarkowanym. Surowa kapusta pekińska, delikatnie krucha i słodka w smaku, sprawdzi się jako składnik sałatek i surówek. Można ją także gotować, smażyć i zapiekać. Ciekawostka: kapusta pekińska jest głównym składnikiem tradycyjnego dania kuchni koreańskiej - KIMCHI, które składa się z fermentowanych i kiszonych warzyw. W Korei danie to jest popularną przystawką i ważnym elementem każdego posiłku.
Włoszczyzna tacka 650 g;5.99;Warzywa świeże;30;http://localhost/img/p/wloszczyzna-tacka-650-g-5i2o3q.png;- PRODUKT POLSKI - opakowanie biodegradowalne
Boczniaki opakowanie 250 g;6.49;Grzyby;30;http://localhost/img/p/boczniaki-opakowanie-250-g-q54ljo.png;Boczniaki to grzyby, które pochodzą z Chin, ale są coraz bardziej popularne w innych regionach Świata, także w Polsce. Można spożywać je po przetworzeniu jako osobne danie lub jako dodatek do mięs, sosów czy innych potraw. Grzyby te odznaczają się specyficznymi walorami smakowo-zapachowymi, ale cenione są również za obecność składników odżywczych pozytywnie wypływających na organizm człowieka. Dlatego grzyby te mogą stanowić ciekawą alternatywę dla wegetarian poprzez wzbogacenie ich diety w brakujące mikro i markoelementy. Boczniaki charakteryzują się niską kalorycznością i indeksem glikemicznym. Zawierają także mało tłuszczu, a ten w nich obecny, w dużej mierze stanowią nienasycone kwasy tłuszczowe. Warto zauważyć, że grzyby te są także źródłem łatwo przyswajalnego białka. Zawierają witaminy B i D, kwas foliowy i pierwiastki takie jak: wapń, potas czy sód. Na szczególna uwagę zasługują także β-glukany (związki należące do węglowodanów), które wykazują prozdrowotne właściwości - odbudowują nabłonek oraz wspomagają leczenie chorób nowotworowych. Bardzo ważną rolę spełniają w układzie immunologicznym, przez stymulowanie dojrzewania komórek odpornościowych.
Awokado duże sztuka;7.99;Owoce świeże;30;http://localhost/img/p/awokado-duze-sztuka-ri6omj.png;W naszych sklepach sprzedajemy wyłącznie awokado „ready to eat” – „gotowe do zjedzenia”, które w odróżnieniu od standardowego, poddawane jest procesowi dojrzewania w odpowiednich komorach. Dzięki temu zabiegowi, już w momencie zakupu, nadają się do spożycia. Miąższ dojrzałego awokado ma mazistą konsystencję podobną do masła, zaś jego delikatny smak przypomina orzech włoski. To właśnie konsystencja awokado pozwala na przygotowanie z niego aromatycznej pasty. Idealnie pasuje także do sałatek lub jako dodatek do kanapek. Oprócz zastosowania w kuchni, nadaje się jako komponent maseczek do twarzy czy włosów.
"Cebula ""Jakość z Natury Carrefour"" 1 kg";3.99;Warzywa świeże;30;http://localhost/img/p/cebula-jakosc-z-natury-carrefour-1-kg-j5ku4o.png;"Cebula ""Jakość z Natury Carrefour"" charakteryzuje się delikatnym i swoistym smakiem. Uprawiana jest w wyselekcjonowanych gospodarstwach zlokalizowanych w centrum Nizimy Błońskiej. Regularne badania gleby prowadzone podczas uprawy pozwalają na dobranie odpowiednich nawozów w optymalnych ilościach. Po zbiorach, cebula jest przechowywana w naturalnych warunkach - nie są stosowane zabiegi fitosanitarne przeciwko wyrastaniu szczypioru."
